trialNumber,duration,stimOnset,stimOffset,rt,iti,shape
1,1,2625.707298,2626.790143,0,0.816666667,square
2,1,2628.540142,2629.623472,0,1.283333333,square
3,1,2631.840154,2632.923477,0,0.966666667,square
4,1.5,2634.823478,2636.406802,0,0.533333333,circle
5,1.5,2637.373475,2638.956821,0,0.683333333,circle
6,1,2640.073499,2641.156785,0,1.216666667,circle
7,1.5,2643.306826,2644.890067,0,0.966666667,square
8,1.5,2646.290132,2647.873434,0,0.65,circle
9,1,2648.956803,2650.040086,0,0.833333333,circle
10,1,2651.806763,2652.890084,0,1.1,square
11,1.5,2654.923437,2656.506739,0,0.7,square
12,1,2657.640106,2658.723379,0,1.233333333,circle
13,1.5,2660.890085,2662.473346,0,0.75,square
14,1,2663.656682,2664.740004,0,1.416666667,circle
15,1.5,2667.090024,2668.673344,0,0.766666667,square
16,1.5,2669.873339,2671.456655,0,1.266666667,square
17,1.5,2673.15665,2674.740026,0,0.683333333,square
18,1.5,2675.85667,2677.439952,0,0.783333333,circle
19,1,2678.656669,2679.73994,0,0.583333333,circle
20,1.5,2681.256691,2682.84001,0,1.083333333,circle
21,1,2684.356658,2685.439955,0,1.183333333,circle
22,1.5,2687.556675,2689.139921,0,1.05,circle
23,1,2690.623275,2691.706597,0,0.933333333,square
24,1,2693.573287,2694.656658,0,1.15,circle
25,1,2696.739919,2697.823283,0,1.15,circle
26,1,2699.906632,2700.989904,0,1.183333333,square
27,1,2703.106613,2704.189914,0,1.133333333,circle
28,1.5,2706.256584,2707.839958,0,1.45,circle
29,1.5,2709.723249,2711.306585,0,0.716666667,square
30,1.5,2712.456569,2714.039883,0,1.216666667,circle
31,1,2715.689887,2716.77319,0,0.733333333,square
32,1.5,2718.439861,2720.023254,0,0.616666667,circle
33,1,2721.073188,2722.156484,0,1.1,circle
34,1.5,2724.189837,2725.773162,0,0.95,square
35,1,2727.156508,2728.2398,0,0.966666667,square
36,1.5,2730.139836,2731.723138,0,1.166666667,square
37,1.5,2733.323161,2734.906439,0,1.266666667,circle
38,1,2736.606495,2737.689814,0,0.85,square
39,1.5,2739.473086,2741.056441,0,1.166666667,square
40,1,2742.656483,2743.739731,0,0.916666667,square
