trialNumber,duration,stimOnset,stimOffset,rt,iti,responseKey,shape,response
1,1.5,442902.3079611,442903.805111,0.657280999992508,0.733333333333333,37,star,left
2,1,442905.040889,442906.0387512,0.584020000009332,0.666666666666667,37,star,left
3,1.5,442907.7045584,442909.201791,0.360738300019875,0.733333333333333,37,star,left
4,1,442910.434912,442911.432005,0.418293799972162,0.933333333333333,37,star,left
5,1.5,442913.3662496,442914.8633238,0.403563399973791,0.816666666666667,37,triangle,left
6,1.5,442916.1798399,442917.6774018,0.457464899984188,1.41666666666667,39,star,right
7,1.5,442919.5935713,442921.0906122,0.363766000024043,0.933333333333333,39,star,right
8,1,442922.5238694,442923.5210888,0.273423699953128,0.683333333333333,39,star,right
9,1,442925.2047637,442926.2024609,0.412558899959549,1.4,39,star,right
10,1,442928.6025828,442929.5995466,0.394322899985127,1.48333333333333,39,triangle,right
11,1.5,442932.0829652,442933.5801145,0.45840699999826,0.933333333333333,38,triangle,wrongKey
12,1.5,442935.0133543,442936.5105014,0.379929299990181,0.616666666666667,38,star,wrongKey
13,1.5,442937.6269941,442939.1253248,0.442328999983147,0.75,38,star,wrongKey
14,1.5,442940.3745458,442941.8716508,0.394700000004377,0.916666666666667,38,triangle,wrongKey
15,1,442943.2893265,442944.2862263,0.355991000018548,1.1,38,star,wrongKey
16,0,0,0,0,0,0,,
17,0,0,0,0,0,0,,
18,0,0,0,0,0,0,,
19,0,0,0,0,0,0,,
20,0,0,0,0,0,0,,
21,0,0,0,0,0,0,,
22,0,0,0,0,0,0,,
23,0,0,0,0,0,0,,
24,0,0,0,0,0,0,,
25,0,0,0,0,0,0,,
26,0,0,0,0,0,0,,
27,0,0,0,0,0,0,,
28,0,0,0,0,0,0,,
29,0,0,0,0,0,0,,
30,0,0,0,0,0,0,,
31,0,0,0,0,0,0,,
32,0,0,0,0,0,0,,
33,0,0,0,0,0,0,,
34,0,0,0,0,0,0,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
37,0,0,0,0,0,0,,
38,0,0,0,0,0,0,,
39,0,0,0,0,0,0,,
40,0,0,0,0,0,0,,
